Tube,TechnicalReplicate,TimeLapse,Fraction,PlateletCount,PlateletCountPrct,TubeType,Donor,BiologicalReplicate,GraphTube
Citrate,TUBE2,T16,PPP,25,0.1656,Non-preservation,EC0030,DONOR8,CIT
Citrate,TUBE3,T16,PPP,10,0.0901,Non-preservation,EC0031,DONOR9,CIT
Citrate,TUBE1,T16,PFP,1,0.0079,Non-preservation,EC0029,DONOR7,CIT
Citrate,TUBE2,T16,PFP,2,0.0132,Non-preservation,EC0030,DONOR8,CIT
Citrate,TUBE3,T16,PFP,2,0.018,Non-preservation,EC0031,DONOR9,CIT
DNA Streck,TUBE1,T0,WB,414,1,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T0,WB,199,1,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T0,WB,230,1,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T0,PRP,590,1.4251,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T0,PRP,215,1.0804,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T0,PRP,353,1.5348,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T0,PPP,193,0.4662,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T0,PPP,39,0.196,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T0,PPP,90,0.3913,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T0,PFP,7,0.0169,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T0,PFP,3,0.0151,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T0,PFP,5,0.0217,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T24,WB,434,1,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T24,WB,198,1,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T24,WB,239,1,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T24,PRP,712,1.6406,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T24,PRP,252,1.2727,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T24,PRP,413,1.728,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T24,PPP,457,1.053,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T24,PPP,126,0.6364,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T24,PPP,219,0.9163,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T24,PFP,105,0.2419,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T24,PFP,23,0.1162,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T24,PFP,33,0.1381,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T72,WB,451,1,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T72,WB,197,1,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T72,WB,262,1,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T72,PRP,NA,NA,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T72,PRP,NA,NA,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T72,PRP,NA,NA,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T72,PPP,NA,NA,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T72,PPP,NA,NA,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T72,PPP,NA,NA,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T72,PFP,0,0,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T72,PFP,22,0.1117,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T72,PFP,48,0.1832,Preservation,EC0027,DONOR5,CFDBCT
EDTA,TUBE1,T0,WB,185,1,Non-preservation,EC0029,DONOR7,EDTA
EDTA,TUBE2,T0,WB,218,1,Non-preservation,EC0030,DONOR8,EDTA
EDTA,TUBE3,T0,WB,175,1,Non-preservation,EC0031,DONOR9,EDTA
EDTA,TUBE1,T0,PRP,89,0.4811,Non-preservation,EC0029,DONOR7,EDTA
EDTA,TUBE2,T0,PRP,162,0.7431,Non-preservation,EC0030,DONOR8,EDTA
EDTA,TUBE3,T0,PRP,159,0.9086,Non-preservation,EC0031,DONOR9,EDTA
EDTA,TUBE1,T0,PPP,23,0.1243,Non-preservation,EC0029,DONOR7,EDTA
EDTA,TUBE2,T0,PPP,44,0.2018,Non-preservation,EC0030,DONOR8,EDTA
EDTA,TUBE3,T0,PPP,31,0.1771,Non-preservation,EC0031,DONOR9,EDTA
EDTA,TUBE1,T0,PFP,1,0.0054,Non-preservation,EC0029,DONOR7,EDTA
EDTA,TUBE2,T0,PFP,2,0.0092,Non-preservation,EC0030,DONOR8,EDTA
EDTA,TUBE3,T0,PFP,1,0.0057,Non-preservation,EC0031,DONOR9,EDTA
EDTA,TUBE1,T04,WB,178,1,Non-preservation,EC0029,DONOR7,EDTA
EDTA,TUBE2,T04,WB,220,1,Non-preservation,EC0030,DONOR8,EDTA
EDTA,TUBE3,T04,WB,172,1,Non-preservation,EC0031,DONOR9,EDTA
EDTA,TUBE1,T04,PRP,75,0.4213,Non-preservation,EC0029,DONOR7,EDTA
EDTA,TUBE2,T04,PRP,180,0.8182,Non-preservation,EC0030,DONOR8,EDTA
EDTA,TUBE3,T04,PRP,NA,NA,Non-preservation,EC0031,DONOR9,EDTA
EDTA,TUBE1,T04,PPP,18,0.1011,Non-preservation,EC0029,DONOR7,EDTA
EDTA,TUBE2,T04,PPP,61,0.2773,Non-preservation,EC0030,DONOR8,EDTA
EDTA,TUBE3,T04,PPP,18,0.1047,Non-preservation,EC0031,DONOR9,EDTA
EDTA,TUBE1,T04,PFP,1,0.0056,Non-preservation,EC0029,DONOR7,EDTA
EDTA,TUBE2,T04,PFP,2,0.0091,Non-preservation,EC0030,DONOR8,EDTA
EDTA,TUBE3,T04,PFP,1,0.0058,Non-preservation,EC0031,DONOR9,EDTA
EDTA,TUBE1,T16,WB,182,1,Non-preservation,EC0029,DONOR7,EDTA
EDTA,TUBE2,T16,WB,207,1,Non-preservation,EC0030,DONOR8,EDTA
EDTA,TUBE3,T16,WB,164,1,Non-preservation,EC0031,DONOR9,EDTA
EDTA,TUBE1,T16,PRP,145,0.7967,Non-preservation,EC0029,DONOR7,EDTA
EDTA,TUBE2,T16,PRP,219,1.058,Non-preservation,EC0030,DONOR8,EDTA
EDTA,TUBE3,T16,PRP,134,0.8171,Non-preservation,EC0031,DONOR9,EDTA
EDTA,TUBE1,T16,PPP,26,0.1429,Non-preservation,EC0029,DONOR7,EDTA
EDTA,TUBE2,T16,PPP,52,0.2512,Non-preservation,EC0030,DONOR8,EDTA
EDTA,TUBE3,T16,PPP,34,0.2073,Non-preservation,EC0031,DONOR9,EDTA
EDTA,TUBE1,T16,PFP,1,0.0055,Non-preservation,EC0029,DONOR7,EDTA
EDTA,TUBE2,T16,PFP,2,0.0097,Non-preservation,EC0030,DONOR8,EDTA
EDTA,TUBE3,T16,PFP,2,0.0122,Non-preservation,EC0031,DONOR9,EDTA
EDTA separator,TUBE1,T0,WB,178,1,Non-preservation,EC0029,DONOR7,EDTAS
EDTA separator,TUBE2,T0,WB,224,1,Non-preservation,EC0030,DONOR8,EDTAS
EDTA separator,TUBE3,T0,WB,170,1,Non-preservation,EC0031,DONOR9,EDTAS
EDTA separator,TUBE1,T0,PRP,156,0.8764,Non-preservation,EC0029,DONOR7,EDTAS
EDTA separator,TUBE2,T0,PRP,127,0.567,Non-preservation,EC0030,DONOR8,EDTAS
EDTA separator,TUBE3,T0,PRP,226,1.3294,Non-preservation,EC0031,DONOR9,EDTAS
EDTA separator,TUBE1,T0,PPP,31,0.1742,Non-preservation,EC0029,DONOR7,EDTAS
EDTA separator,TUBE2,T0,PPP,31,0.1384,Non-preservation,EC0030,DONOR8,EDTAS
EDTA separator,TUBE3,T0,PPP,20,0.1176,Non-preservation,EC0031,DONOR9,EDTAS
EDTA separator,TUBE1,T0,PFP,0,0,Non-preservation,EC0029,DONOR7,EDTAS
EDTA separator,TUBE2,T0,PFP,1,0.0045,Non-preservation,EC0030,DONOR8,EDTAS
